arm,lr,seed,step,train_loss,val_loss,lr_now,wall_s
sgd,0.03,0,50,3.8252810573577882,3.4031737446784973,0.02967144078248689,2.55
sgd,0.03,0,100,3.164265208244324,3.078466773033142,0.02587788800119646,4.31
sgd,0.03,0,150,2.9364266872406004,2.9179131984710693,0.018998781461103644,5.33
sgd,0.03,0,200,2.8442329692840578,2.854565143585205,0.01129751490707695,6.56
sgd,0.03,0,250,2.793898572921753,2.8296122550964355,0.005307992770506938,7.66
sgd,0.03,0,300,2.7774439430236817,2.8181249499320984,0.0030009138419492105,8.96
sgd,0.03,1,50,3.845997791290283,3.440851867198944,0.02967144078248689,0.96
sgd,0.03,1,100,3.2240565633773803,3.1297419667243958,0.02587788800119646,2.76
sgd,0.03,1,150,2.9753086709976198,2.9530022740364075,0.018998781461103644,4.52
sgd,0.03,1,200,2.862275757789612,2.8744581937789917,0.01129751490707695,5.53
sgd,0.03,1,250,2.8161506700515746,2.844899296760559,0.005307992770506938,6.46
sgd,0.03,1,300,2.7966042661666872,2.8319509029388428,0.0030009138419492105,7.4
sgd,0.1,0,50,3.547480363845825,3.0013076663017273,0.09890480260828965,1.16
sgd,0.1,0,100,2.7795311260223388,2.7294965982437134,0.08625962667065488,2.2
sgd,0.1,0,150,2.6472690868377686,2.6579940915107727,0.06332927153701216,3.22
sgd,0.1,0,200,2.6076883125305175,2.62773334980011,0.03765838302358984,4.21
sgd,0.1,0,250,2.5763704347610474,2.611635148525238,0.017693309235023127,5.16
sgd,0.1,0,300,2.5652069330215452,2.6037535667419434,0.010003046139830702,7.21
sgd,0.1,1,50,3.582830548286438,3.0659013390541077,0.09890480260828965,1.04
sgd,0.1,1,100,2.815662131309509,2.7455002665519714,0.08625962667065488,2.01
sgd,0.1,1,150,2.6555161094665527,2.6635943055152893,0.06332927153701216,3.08
sgd,0.1,1,200,2.602976016998291,2.6269596815109253,0.03765838302358984,4.31
sgd,0.1,1,250,2.587110552787781,2.6142370104789734,0.017693309235023127,5.26
sgd,0.1,1,300,2.5703182220458984,2.604646146297455,0.010003046139830702,6.25
sgd,0.3,0,50,3.2726896715164187,2.721944212913513,0.2967144078248689,0.97
sgd,0.3,0,100,2.6023536586761473,2.59901225566864,0.25877888001196464,2.34
sgd,0.3,0,150,2.5345462465286257,2.559442698955536,0.18998781461103645,4.33
sgd,0.3,0,200,2.511195755004883,2.536184847354889,0.1129751490707695,5.4
sgd,0.3,0,250,2.4850503969192506,2.5227984189987183,0.053079927705069384,6.71
sgd,0.3,0,300,2.4731980848312376,2.5128870606422424,0.030009138419492102,7.68
sgd,0.3,1,50,3.3140959978103637,2.7581557631492615,0.2967144078248689,1.01
sgd,0.3,1,100,2.622322120666504,2.6185669898986816,0.25877888001196464,1.99
sgd,0.3,1,150,2.540406222343445,2.5604798197746277,0.18998781461103645,3.13
sgd,0.3,1,200,2.5009100914001463,2.534084737300873,0.1129751490707695,4.29
sgd,0.3,1,250,2.495989785194397,2.5266212821006775,0.053079927705069384,5.7
sgd,0.3,1,300,2.478526511192322,2.514894187450409,0.030009138419492102,6.7
sgd,1.0,0,50,3.4847500848770143,3.3190572261810303,0.9890480260828964,1.05
sgd,1.0,0,100,3.2594562005996703,3.221878707408905,0.8625962667065488,3.06
sgd,1.0,0,150,3.104845814704895,3.082440733909607,0.6332927153701216,4.26
sgd,1.0,0,200,2.9913992357254027,2.9494019746780396,0.37658383023589836,5.3
sgd,1.0,0,250,2.8979409027099607,2.9178571105003357,0.17693309235023127,6.72
sgd,1.0,0,300,2.8715321445465087,2.9031275510787964,0.10003046139830701,7.74
sgd,1.0,1,50,3.4576250600814817,3.1331300735473633,0.9890480260828964,1.06
sgd,1.0,1,100,2.8634703826904295,2.742921471595764,0.8625962667065488,2.03
sgd,1.0,1,150,2.6354240131378175,2.630452036857605,0.6332927153701216,4.88
sgd,1.0,1,200,2.5511986112594602,2.566538989543915,0.37658383023589836,6.5
sgd,1.0,1,250,2.525123233795166,2.5403011441230774,0.17693309235023127,7.85
sgd,1.0,1,300,2.500943832397461,2.5250725150108337,0.10003046139830701,8.95
sgd,3.0,0,50,3.494639163017273,3.3286028504371643,2.9671440782486895,0.98
sgd,3.0,0,100,3.1930615425109865,3.233098030090332,2.5877888001196463,2.67
sgd,3.0,0,150,3.146479425430298,3.2124986052513123,1.8998781461103647,4.41
sgd,3.0,0,200,3.131139817237854,3.1617889404296875,1.129751490707695,5.36
sgd,3.0,0,250,3.065773916244507,3.1088841557502747,0.5307992770506939,6.31
sgd,3.0,0,300,3.0328722047805785,3.0845935940742493,0.30009138419492104,7.26
sgd,3.0,1,50,3.721406826972961,3.3786405324935913,2.9671440782486895,1.28
sgd,3.0,1,100,3.318332509994507,3.3612558245658875,2.5877888001196463,2.22
sgd,3.0,1,150,3.235534472465515,3.2272565364837646,1.8998781461103647,3.16
sgd,3.0,1,200,3.139266676902771,3.2010046243667603,1.129751490707695,4.1
sgd,3.0,1,250,3.126531982421875,3.1906121373176575,0.5307992770506939,5.57
sgd,3.0,1,300,3.1232779121398924,3.185155689716339,0.30009138419492104,6.55
adamw,0.001,0,50,3.5138191747665406,2.9455901384353638,0.0009890480260828964,1.03
adamw,0.001,0,100,2.7355128288269044,2.66257643699646,0.0008625962667065488,2.08
adamw,0.001,0,150,2.577144727706909,2.5730119347572327,0.0006332927153701216,3.32
adamw,0.001,0,200,2.5210995197296144,2.5367754101753235,0.00037658383023589836,4.43
adamw,0.001,0,250,2.481257495880127,2.50880229473114,0.00017693309235023127,5.44
adamw,0.001,0,300,2.463160538673401,2.4976912140846252,0.00010003046139830702,6.52
adamw,0.001,1,50,3.551128430366516,2.999249041080475,0.0009890480260828964,1.63
adamw,0.001,1,100,2.763079671859741,2.670031249523163,0.0008625962667065488,2.79
adamw,0.001,1,150,2.5801470375061033,2.571269989013672,0.0006332927153701216,5.26
adamw,0.001,1,200,2.512851734161377,2.5351447463035583,0.00037658383023589836,6.99
