arm,lr,seed,step,train_loss,val_loss,lr_now,wall_s
sgd,0.1,0,100,3.0538880467414855,2.6278149783611298,0.09884665291533559,16.85
sgd,0.1,0,200,2.5544173884391785,2.54004243016243,0.08607077600253625,35.64
sgd,0.1,0,300,2.500637991428375,2.509676456451416,0.06307185636718558,53.68
sgd,0.1,0,400,2.4682919430732726,2.4868043661117554,0.03741709921798269,71.62
sgd,0.1,0,500,2.444286034107208,2.468013048171997,0.01754754504749751,89.62
sgd,0.1,0,600,2.4343567633628846,2.465699315071106,0.01000076154140151,107.69
sgd,0.3,0,100,2.8889207863807678,2.5517705380916595,0.29653995874600675,18.25
sgd,0.3,0,200,2.4984442353248597,2.49222394824028,0.25821232800760874,35.58
sgd,0.3,0,300,2.4493516492843628,2.465501695871353,0.18921556910155676,53.57
sgd,0.3,0,400,2.416749804019928,2.4340477287769318,0.11225129765394805,71.3
sgd,0.3,0,500,2.3892349648475646,2.4115490317344666,0.052642635142492525,89.01
sgd,0.3,0,600,2.374284362792969,2.4067211151123047,0.030002284624204525,106.75
sgd,0.9,0,100,3.1452216339111327,2.6974581480026245,0.8896198762380203,17.71
sgd,0.9,0,200,2.588022129535675,2.5451867282390594,0.7746369840228262,35.6
sgd,0.9,0,300,2.513205008506775,2.5185016989707947,0.5676467073046703,53.3
sgd,0.9,0,400,2.474522206783295,2.4869816601276398,0.33675389296184416,71.03
sgd,0.9,0,500,2.443543782234192,2.4631903171539307,0.1579279054274776,88.56
sgd,0.9,0,600,2.4315413141250612,2.452764719724655,0.09000685387261359,107.52
adamw,0.00333333,0,100,2.7992517852783205,2.531438410282135,0.0032948851356227556,18.41
adamw,0.00333333,0,200,2.4811824440956114,2.4546612203121185,0.0028690229977253413,36.61
adamw,0.00333333,0,300,2.3752681827545166,2.361229717731476,0.002102393109844307,55.12
adamw,0.00333333,0,400,2.237932333946228,2.23830583691597,0.0012472353933627822,74.2
adamw,0.00333333,0,500,2.100866960287094,2.1351952254772186,0.0005849175833317487,93.62
adamw,0.00333333,0,600,2.0122248673439027,2.0924560129642487,0.0003333583846879989,112.02
adamw,0.01,0,100,2.739876556396484,2.5774846971035004,0.009884665291533559,18.1
adamw,0.01,0,200,2.5119193243980407,2.4978080093860626,0.008607077600253624,37.8
adamw,0.01,0,300,2.4167040848731993,2.3840056359767914,0.006307185636718559,61.07
adamw,0.01,0,400,2.2103259348869324,2.1757605373859406,0.0037417099217982685,83.43
adamw,0.01,0,500,2.0326236021518707,2.0699604749679565,0.001754754504749751,105.89
adamw,0.01,0,600,1.9322333323955536,2.027996152639389,0.0010000761541401509,128.57
adamw,0.03,0,100,2.8693303775787355,2.7445068359375,0.029653995874600676,21.14
adamw,0.03,0,200,2.692496078014374,2.68340927362442,0.02582123280076087,47.68
adamw,0.03,0,300,2.6545118618011476,2.67560014128685,0.018921556910155676,79.6
adamw,0.03,0,400,2.6321451830863953,2.6299010813236237,0.011225129765394805,106.78
adamw,0.03,0,500,2.5907183146476744,2.5887653827667236,0.0052642635142492525,132.86
adamw,0.03,0,600,2.5651957607269287,2.5812342166900635,0.003000228462420453,159.01
lion,0.00033333,0,100,3.1823783826828005,2.7048845887184143,0.0003294855481626881,18.43
lion,0.00033333,0,200,2.568117356300354,2.526185005903244,0.00028689971764925406,36.11
lion,0.00033333,0,300,2.449941463470459,2.4295710921287537,0.00021023741882873973,54.01
lion,0.00033333,0,400,2.359306936264038,2.3510304987430573,0.0001247224168233017,73.47
lion,0.00033333,0,500,2.2842761373519895,2.3019841611385345,5.849123190682345e-05,93.02
lion,0.00033333,0,600,2.2484836030006408,2.2787308990955353,3.3335538445953655e-05,110.73
lion,0.001,0,100,2.9542375469207762,2.574992150068283,0.0009884665291533558,17.8
lion,0.001,0,200,2.506968848705292,2.481617569923401,0.0008607077600253625,35.62
lion,0.001,0,300,2.4162571930885317,2.4091803431510925,0.0006307185636718559,53.52
lion,0.001,0,400,2.3117826437950133,2.303480178117752,0.00037417099217982685,71.73
lion,0.001,0,500,2.213114814758301,2.2349966764450073,0.0001754754504749751,91.17
lion,0.001,0,600,2.1551818871498107,2.200990855693817,0.0001000076154140151,109.96
lion,0.003,0,100,2.919062280654907,2.653217613697052,0.0029653995874600676,18.01
lion,0.003,0,200,2.604641282558441,2.602006733417511,0.0025821232800760873,43.19
lion,0.003,0,300,2.570229845046997,2.5876599848270416,0.0018921556910155676,68.37
lion,0.003,0,400,2.5415088629722593,2.5629051625728607,0.0011225129765394806,93.87
lion,0.003,0,500,2.521549890041351,2.5464910864830017,0.0005264263514249253,118.25
lion,0.003,0,600,2.50819002866745,2.540515661239624,0.0003000228462420453,142.75
adam_mini,0.00333333,0,100,2.798504693508148,2.5525632202625275,0.0032948851356227556,18.69
adam_mini,0.00333333,0,200,2.499240777492523,2.487089216709137,0.0028690229977253413,36.74
adam_mini,0.00333333,0,300,2.4164960193634033,2.4047620594501495,0.002102393109844307,54.82
adam_mini,0.00333333,0,400,2.3030149579048156,2.3024549186229706,0.0012472353933627822,73.64
adam_mini,0.00333333,0,500,2.1964546155929567,2.2242679595947266,0.0005849175833317487,92.2
adam_mini,0.00333333,0,600,2.1244595885276794,2.1798324584960938,0.0003333583846879989,110.32
adam_mini,0.01,0,100,2.765624933242798,2.571589410305023,0.009884665291533559,18.47
adam_mini,0.01,0,200,2.526690034866333,2.52405321598053,0.008607077600253624,44.08
adam_mini,0.01,0,300,2.46385671377182,2.4739499390125275,0.006307185636718559,74.64
adam_mini,0.01,0,400,2.325519471168518,2.289393365383148,0.0037417099217982685,102.1
adam_mini,0.01,0,500,2.1502321195602416,2.1502268314361572,0.001754754504749751,125.77
adam_mini,0.01,0,600,2.038753319978714,2.0959607660770416,0.0010000761541401509,149.8
adam_mini,0.03,0,100,3.1714649033546447,3.050242602825165,0.029653995874600676,22.42
adam_mini,0.03,0,200,2.8586257529258727,2.7719074487686157,0.02582123280076087,49.11
adam_mini,0.03,0,300,2.743066771030426,2.743043601512909,0.018921556910155676,78.19
adam_mini,0.03,0,400,2.6932525730133055,2.686377167701721,0.011225129765394805,101.99
adam_mini,0.03,0,500,2.6458683371543885,2.656420409679413,0.0052642635142492525,125.37
adam_mini,0.03,0,600,2.611537721157074,2.6318724155426025,0.003000228462420453,148.79
signum,0.001,0,100,3.3065638446807863,2.7801601588726044,0.0009884665291533558,17.73
signum,0.001,0,200,2.5808111453056335,2.499146193265915,0.0008607077600253625,36.36
signum,0.001,0,300,2.42087441444397,2.3952998220920563,0.0006307185636718559,53.85
signum,0.001,0,400,2.3233504486083985,2.325666457414627,0.00037417099217982685,71.56
signum,0.001,0,500,2.262871506214142,2.282416731119156,0.0001754754504749751,89.84
signum,0.001,0,600,2.236019811630249,2.269573986530304,0.0001000076154140151,108.27
signum,0.003,0,100,3.0257857036590576,2.5544088184833527,0.0029653995874600676,18.43
signum,0.003,0,200,2.4616932606697084,2.423623025417328,0.0025821232800760873,36.9
signum,0.003,0,300,2.3283480501174925,2.3119817972183228,0.0018921556910155676,55.68
signum,0.003,0,400,2.2119519972801207,2.2145939767360687,0.0011225129765394806,74.13
signum,0.003,0,500,2.106072652339935,2.1414259374141693,0.0005264263514249253,93.64
signum,0.003,0,600,2.0410155606269837,2.112110048532486,0.0003000228462420453,113.23
signum,0.009,0,100,2.8733700346946716,2.5642482340335846,0.008896198762380202,18.63
signum,0.009,0,200,2.5003121185302732,2.4787922501564026,0.0077463698402282614,39.69
signum,0.009,0,300,2.410474512577057,2.409065365791321,0.0056764670730467025,63.39
signum,0.009,0,400,2.286933133602142,2.2754260301589966,0.0033675389296184415,87.26
signum,0.009,0,500,2.1590207529067995,2.1966336965560913,0.0015792790542747757,112.21
signum,0.009,0,600,2.0808344686031344,2.1483249366283417,0.0009000685387261358,136.56
normsgd,0.001,0,100,3.2655201053619383,2.7336844503879547,0.0009884665291533558,18.81
normsgd,0.001,0,200,2.5621010422706605,2.4916116297245026,0.0008607077600253625,41.91
normsgd,0.001,0,300,2.42835328578949,2.4174022674560547,0.0006307185636718559,62.83
normsgd,0.001,0,400,2.3470512437820434,2.3395116329193115,0.00037417099217982685,92.51
normsgd,0.001,0,500,2.2856134963035584,2.295448213815689,0.0001754754504749751,113.85
normsgd,0.001,0,600,2.2575190091133117,2.2850278317928314,0.0001000076154140151,134.64
normsgd,0.003,0,100,3.0205733394622802,2.5751267969608307,0.0029653995874600676,19.08
normsgd,0.003,0,200,2.5097273921966554,2.4724088609218597,0.0025821232800760873,38.66
normsgd,0.003,0,300,2.4151848649978636,2.3930265307426453,0.0018921556910155676,57.78
normsgd,0.003,0,400,2.305190918445587,2.290038377046585,0.0011225129765394806,99.64
normsgd,0.003,0,500,2.211649765968323,2.228822410106659,0.0005264263514249253,130.58
normsgd,0.003,0,600,2.152182765007019,2.192534387111664,0.0003000228462420453,153.54
normsgd,0.009,0,100,3.090758008956909,2.782778650522232,0.008896198762380202,23.78
normsgd,0.009,0,200,2.7018499422073363,2.688926011323929,0.0077463698402282614,61.42
normsgd,0.009,0,300,2.6511136221885683,2.6538748741149902,0.0056764670730467025,89.73
normsgd,0.009,0,400,2.6053042602539063,2.607818603515625,0.0033675389296184415,122.02
normsgd,0.009,0,500,2.570277740955353,2.5895156860351562,0.0015792790542747757,149.75
normsgd,0.009,0,600,2.5508246779441834,2.5785282254219055,0.0009000685387261358,177.83
rownorm,0.001,0,100,3.259615659713745,2.7287425994873047,0.0009884665291533558,19.08
rownorm,0.001,0,200,2.547041537761688,2.4709255695343018,0.0008607077600253625,38.55
rownorm,0.001,0,300,2.396494383811951,2.366087883710861,0.0006307185636718559,57.45
rownorm,0.001,0,400,2.2977606534957884,2.3064052760601044,0.00037417099217982685,76.57
rownorm,0.001,0,500,2.2384083437919617,2.266405075788498,0.0001754754504749751,96.11
rownorm,0.001,0,600,2.2098628520965575,2.2543912827968597,0.0001000076154140151,115.41
rownorm,0.003,0,100,2.993446147441864,2.543084055185318,0.0029653995874600676,19.08
rownorm,0.003,0,200,2.463245735168457,2.431477725505829,0.0025821232800760873,38.73
rownorm,0.003,0,300,2.3363794779777525,2.314064085483551,0.0018921556910155676,58.01
rownorm,0.003,0,400,2.213087043762207,2.2197768688201904,0.0011225129765394806,83.91
rownorm,0.003,0,500,2.1015004229545595,2.1375631988048553,0.0005264263514249253,104.52
rownorm,0.003,0,600,2.0277606761455536,2.1028987169265747,0.0003000228462420453,123.39
rownorm,0.009,0,100,2.865764784812927,2.582115054130554,0.008896198762380202,19.21
rownorm,0.009,0,200,2.5128344988822935,2.4892627596855164,0.0077463698402282614,46.09
rownorm,0.009,0,300,2.4251942443847656,2.413413166999817,0.0056764670730467025,69.79
rownorm,0.009,0,400,2.293741292953491,2.270426958799362,0.0033675389296184415,93.26
rownorm,0.009,0,500,2.151434464454651,2.1864400506019592,0.0015792790542747757,117.77
rownorm,0.009,0,600,2.0735527694225313,2.1470084190368652,0.0009000685387261358,142.14
muon_all,0.01,0,100,2.845371136665344,2.436762660741806,0.009884665291533559,25.32
muon_all,0.01,0,200,2.1983009696006777,2.1085886657238007,0.008607077600253624,51.05
muon_all,0.01,0,300,1.8850396883487701,1.9434089958667755,0.006307185636718559,77.98
muon_all,0.01,0,400,1.717864454984665,1.8539867252111435,0.0037417099217982685,103.4
muon_all,0.01,0,500,1.6085716474056244,1.7729808241128922,0.001754754504749751,129.73
muon_all,0.01,0,600,1.5393822145462037,1.7232731729745865,0.0010000761541401509,155.68
muon_all,0.03,0,100,2.7275610065460203,2.4136275351047516,0.029653995874600676,25.03
muon_all,0.03,0,200,2.1819067907333376,2.142927497625351,0.02582123280076087,51.15
muon_all,0.03,0,300,1.9483543598651887,2.0077986121177673,0.018921556910155676,76.38
muon_all,0.03,0,400,1.7840971624851227,1.9116568863391876,0.011225129765394805,103.27
muon_all,0.03,0,500,1.6778422021865844,1.834394633769989,0.0052642635142492525,129.97
muon_all,0.03,0,600,1.609913239479065,1.7971723675727844,0.003000228462420453,157.43
muon_all,0.09,0,100,2.750419204235077,2.566981226205826,0.08896198762380203,26.58
muon_all,0.09,0,200,2.5509316444396974,2.5691558718681335,0.07746369840228262,58.46
muon_all,0.09,0,300,2.568715469837189,2.5929182171821594,0.05676467073046702,86.69
muon_all,0.09,0,400,2.720601062774658,2.8110784888267517,0.03367538929618442,119.43
