ckpt,block,kind,layer,incumbent,rule,L0,L_after,gain_vs_incumbent,is_best,best_gain_alt,proxy_free,proxy_same,proxy_own,proxy_fit,proxy_lookahead
100,embed,embed,-1,adam,adam,2.443095862865448,2.399706184864044,0.0,False,,1.6530909549160349,2.6401829781077826,18.970244460413394,0.3360178433931791,0.006335258483886719
100,embed,embed,-1,adam,sign,2.443095862865448,2.3973079919815063,0.002398192882537842,True,-0.0013094842433929443,1.6530909549160349,2.6401829781077826,4.908689326496941,0.3360178433931791,0.006118297576904297
100,embed,embed,-1,adam,euclid,2.443095862865448,2.4227485358715057,-0.023042351007461548,False,,0.6164816030917367,0.8201372525278172,2.1696620730770624,0.9999997615814209,0.009225845336914062
100,embed,embed,-1,adam,rows,2.443095862865448,2.404422640800476,-0.004716455936431885,False,,0.7635039479308242,1.2184408850407196,4.917314216743613,0.5243516188401443,0.00773930549621582
100,embed,embed,-1,adam,cols,2.443095862865448,2.4190163612365723,-0.019310176372528076,False,,0.7986303328505411,1.0745205659087522,2.39298637843533,0.9326348304748535,0.009421586990356445
100,embed,embed,-1,adam,spectral,2.443095862865448,2.3995376527309418,0.000168532133102417,False,,1.0574780497737266,1.8914005378471261,9.57323575612986,0.404354007427509,0.006323337554931641
100,pos,pos,-1,adam,adam,2.443095862865448,2.399706184864044,0.0,True,0.0,4.6244029963684214,10.369867606214644,80.67491037391963,0.5902500748634338,0.010350465774536133
100,pos,pos,-1,adam,sign,2.443095862865448,2.404694378376007,-0.004988193511962891,False,,4.6244029963684214,10.369867606214644,28.23021972423356,0.5902500748634338,0.007980823516845703
100,pos,pos,-1,adam,euclid,2.443095862865448,2.4068871438503265,-0.007180958986282349,False,,1.6663825972251969,3.613808440618301,21.52840982106243,1.000001072883606,0.010989904403686523
100,pos,pos,-1,adam,rows,2.443095862865448,2.4028484225273132,-0.003142237663269043,False,,2.017260960305691,4.500113119767507,28.241053422805898,0.9235971570014954,0.009996414184570312
100,pos,pos,-1,adam,cols,2.443095862865448,2.4065077006816864,-0.006801515817642212,False,,2.192546646208714,4.916466658403592,23.419348266602988,0.9815464019775391,0.01081395149230957
100,pos,pos,-1,adam,spectral,2.443095862865448,2.403936058282852,-0.004229873418807983,False,,4.310011984692307,12.51575251040496,55.94145729324546,0.49776163697242737,0.007190704345703125
100,L0.q,q,0,spectral,adam,2.443095862865448,2.4137007296085358,-0.013994544744491577,False,,6.259400751673124,9.236072066725844,60.78632802137269,0.5969512462615967,0.006862640380859375
100,L0.q,q,0,spectral,sign,2.443095862865448,2.4103023409843445,-0.010596156120300293,False,,6.259400751673124,9.236072066725844,17.682544661732447,0.5969512462615967,0.008132219314575195
100,L0.q,q,0,spectral,euclid,2.443095862865448,2.4124189615249634,-0.01271277666091919,False,,1.8406900520381078,2.622889863645985,16.342159214222296,1.0,0.010341644287109375
100,L0.q,q,0,spectral,rows,2.443095862865448,2.4129996299743652,-0.013293445110321045,False,,2.0115437813026076,3.0046665802496086,19.233906277236635,0.9364153742790222,0.009972095489501953
100,L0.q,q,0,spectral,cols,2.443095862865448,2.4127098321914673,-0.013003647327423096,False,,1.9606935291371588,2.851626831400671,18.182612281194555,0.9695957899093628,0.010114669799804688
100,L0.q,q,0,spectral,spectral,2.443095862865448,2.399706184864044,0.0,False,,1.8632064368784071,3.9896229094830153,76.78442363339668,0.29531073570251465,0.0050029754638671875
100,L0.q,q,0,spectral,spectral_head,2.443095862865448,2.401693433523178,-0.001987248659133911,False,,2.1796588696250576,4.257776476417328,62.55232112115884,0.5437202453613281,0.0066683292388916016
100,L0.q,q,0,spectral,normuon,2.443095862865448,2.3996362388134003,6.99460506439209e-05,True,9.655952453613281e-06,1.8632064368784071,3.9896229094830153,77.16370689171931,0.29531073570251465,0.005005598068237305
100,L0.q,q,0,spectral,pw05,2.443095862865448,2.4075219333171844,-0.007815748453140259,False,,1.6793196625988471,2.7613488004068283,30.5264725783452,0.5933108252924144,0.008823871612548828
100,L0.k,k,0,spectral,adam,2.443095862865448,2.4178861677646637,-0.018179982900619507,False,,3.4584427095114,4.708495862346247,8.121747218859591,0.5391411781311035,0.010245323181152344
100,L0.k,k,0,spectral,sign,2.443095862865448,2.4206576347351074,-0.020951449871063232,False,,3.4584427095114,4.708495862346247,1.9989654825929217,0.5391411781311035,0.011510610580444336
100,L0.k,k,0,spectral,euclid,2.443095862865448,2.424776703119278,-0.025070518255233765,False,,1.168222907245163,1.543727967007582,1.663732366329957,0.9999996423721313,0.012500286102294922
100,L0.k,k,0,spectral,rows,2.443095862865448,2.4224369525909424,-0.022730767726898193,False,,1.1887655995058224,1.605616217784978,1.985225138436627,0.8407382369041443,0.012661218643188477
100,L0.k,k,0,spectral,cols,2.443095862865448,2.4199721813201904,-0.02026599645614624,False,,1.1995932665595799,1.6301367952871169,2.228664382048143,0.8576971888542175,0.013987064361572266
100,L0.k,k,0,spectral,spectral,2.443095862865448,2.399706184864044,0.0,True,0.0,0.8374282755345958,1.492446785120149,15.670602008170855,0.14943327009677887,0.00606226921081543
100,L0.k,k,0,spectral,spectral_head,2.443095862865448,2.4045447409152985,-0.0048385560512542725,False,,1.0352280667220595,1.7973877100707936,10.339669546472514,0.30970925092697144,0.008876800537109375
100,L0.k,k,0,spectral,normuon,2.443095862865448,2.399760663509369,-5.447864532470703e-05,False,,0.8374282755345958,1.492446785120149,15.844574183566587,0.14943327009677887,0.006081342697143555
100,L0.k,k,0,spectral,pw05,2.443095862865448,2.4150506258010864,-0.015344440937042236,False,,0.8628469799589944,1.2364575887828126,3.3245220985696653,0.4160053685215348,0.013715267181396484
100,L0.v,v,0,spectral,adam,2.443095862865448,2.4089665710926056,-0.009260386228561401,False,,5.5214572425488555,7.360281520941932,22.364860007056368,0.6121066808700562,0.006825447082519531
100,L0.v,v,0,spectral,sign,2.443095862865448,2.4162392914295197,-0.016533106565475464,False,,5.5214572425488555,7.360281520941932,5.834001935927926,0.6121066808700562,0.010376691818237305
