source run: F:\MOG Measured Optimization Geometry\results\raw\exp400_h2prime_ckpts\20260924T032738085388Z
F:\MOG Measured Optimization Geometry\experiments\03_oracle\oracle.py:79: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:836.)
  return float(loss), {b["name"]: b["param"].grad.clone() for b in bl}
ckpt 100: L0=2.4497 incumbent-rollout=2.3670
  embed    inc=adam      best=adam          gain=+0.00000 alt=+0.00000
  pos      inc=adam      best=adam          gain=+0.00000 alt=+0.00000
  L0.q     inc=spectral  best=spectral      gain=+0.00000 alt=+0.00000
  L0.k     inc=spectral  best=spectral      gain=+0.00000 alt=+0.00000
  L0.v     inc=spectral  best=spectral      gain=+0.00000 alt=+0.00000
  L0.o     inc=spectral  best=normuon       gain=+0.00000 alt=+0.00003
  L0.up    inc=spectral  best=normuon       gain=+0.00013 alt=-0.00036
  L0.down  inc=spectral  best=adam          gain=+0.00099 alt=-0.00177
  L1.q     inc=spectral  best=normuon       gain=+0.00001 alt=-0.00005
  L1.k     inc=spectral  best=spectral_head gain=+0.00061 alt=+0.00079
  L1.v     inc=spectral  best=spectral      gain=+0.00000 alt=+0.00000
  L1.o     inc=spectral  best=normuon       gain=+0.00000 alt=+0.00000
  L1.up    inc=spectral  best=rows          gain=+0.00026 alt=-0.00106
  L1.down  inc=spectral  best=spectral      gain=+0.00000 alt=+0.00000
  L2.q     inc=spectral  best=spectral      gain=+0.00000 alt=+0.00000
  L2.k     inc=spectral  best=normuon       gain=+0.00000 alt=-0.00000
  L2.v     inc=spectral  best=adam          gain=+0.00040 alt=-0.00078
  L2.o     inc=spectral  best=normuon       gain=+0.00000 alt=-0.00001
  L2.up    inc=spectral  best=rows          gain=+0.00065 alt=-0.00134
  L2.down  inc=spectral  best=spectral      gain=+0.00000 alt=+0.00000
  L3.q     inc=spectral  best=spectral      gain=+0.00000 alt=+0.00000
  L3.k     inc=spectral  best=spectral      gain=+0.00000 alt=+0.00000
  L3.v     inc=spectral  best=normuon       gain=+0.00001 alt=+0.00000
  L3.o     inc=spectral  best=spectral      gain=+0.00000 alt=+0.00000
  L3.up    inc=spectral  best=normuon       gain=+0.00002 alt=+0.00015
  L3.down  inc=spectral  best=normuon       gain=+0.00000 alt=-0.00000
  head     inc=adam      best=cols          gain=+0.00147 alt=-0.00846
ckpt 300: L0=1.9411 incumbent-rollout=1.8921
  embed    inc=adam      best=adam          gain=+0.00000 alt=+0.00000
  pos      inc=adam      best=spectral      gain=+0.00038 alt=+0.00282
  L0.q     inc=spectral  best=normuon       gain=+0.00001 alt=-0.00002
  L0.k     inc=spectral  best=spectral      gain=+0.00000 alt=+0.00000
  L0.v     inc=spectral  best=normuon       gain=+0.00007 alt=+0.00007
  L0.o     inc=spectral  best=normuon       gain=+0.00001 alt=+0.00000
