ckpt,horizon,block,rule,gain
100,20,L0.q,normuon,-1.7762184143066406e-05
100,20,L0.o,normuon,-3.534555435180664e-05
100,20,L0.up,normuon,0.0006316304206848145
100,20,L1.k,normuon,-5.581974983215332e-05
100,20,L1.v,normuon,6.157159805297852e-05
100,20,L1.o,normuon,8.821487426757812e-06
100,20,L1.up,normuon,0.00036206841468811035
100,20,L1.down,normuon,-2.086162567138672e-06
100,20,L2.q,sign,-0.0015543699264526367
100,20,L2.v,normuon,1.0401010513305664e-05
100,20,L3.v,normuon,2.0951032638549805e-05
100,20,head,spectral,0.003399491310119629
100,20,JOINT,,0.004570662975311279
100,100,L0.q,normuon,-0.00012952089309692383
100,100,L0.o,normuon,-0.0003432035446166992
100,100,L0.up,normuon,-4.9173831939697266e-06
100,100,L1.k,normuon,-4.234910011291504e-05
100,100,L1.v,normuon,6.732344627380371e-05
100,100,L1.o,normuon,-0.0001163184642791748
100,100,L1.up,normuon,-0.002077847719192505
100,100,L1.down,normuon,-0.0001233816146850586
100,100,L2.q,sign,-0.002965480089187622
100,100,L2.v,normuon,5.3256750106811523e-05
100,100,L3.v,normuon,-7.647275924682617e-05
100,100,head,spectral,0.00026607513427734375
100,100,JOINT,,0.009059339761734009
300,20,L0.q,normuon,1.5497207641601562e-05
300,20,L0.k,normuon,9.834766387939453e-06
300,20,L0.v,normuon,5.961954593658447e-05
300,20,L0.up,normuon,0.00017736852169036865
300,20,L0.down,normuon,4.5746564865112305e-06
300,20,L1.up,normuon,0.00021280348300933838
300,20,L2.o,normuon,-1.6540288925170898e-06
300,20,L2.up,normuon,0.0001842975616455078
300,20,L2.down,normuon,-4.649162292480469e-06
300,20,L3.v,sign,-0.0004883706569671631
300,20,L3.up,normuon,2.187490463256836e-05
300,20,head,sign,-0.0008936077356338501
300,20,JOINT,,-0.0006639957427978516
300,100,L0.q,normuon,-1.1533498764038086e-05
300,100,L0.k,normuon,-6.16312026977539e-05
300,100,L0.v,normuon,0.00020156800746917725
300,100,L0.up,normuon,0.0003647804260253906
300,100,L0.down,normuon,-7.614493370056152e-06
300,100,L1.up,normuon,-0.0008867383003234863
300,100,L2.o,normuon,-1.1309981346130371e-05
300,100,L2.up,normuon,0.0006869733333587646
300,100,L2.down,normuon,2.5212764739990234e-05
300,100,L3.v,sign,-0.0027577579021453857
300,100,L3.up,normuon,0.0005434900522232056
300,100,head,sign,-0.0025879740715026855
300,100,JOINT,,-0.005600422620773315
500,20,L0.k,normuon,9.685754776000977e-07
500,20,L0.v,normuon,1.8969178199768066e-05
500,20,L0.up,normuon,8.890032768249512e-05
500,20,L1.v,adam,0.00014254450798034668
500,20,L1.o,normuon,7.897615432739258e-07
500,20,L1.up,normuon,7.478892803192139e-05
500,20,L2.q,sign,0.0002209991216659546
500,20,L2.v,normuon,1.9073486328125e-06
500,20,L3.q,spectral_head,8.493661880493164e-06
500,20,L3.k,pw05,0.00011016428470611572
500,20,L3.o,normuon,8.195638656616211e-07
500,20,L3.up,normuon,5.21540641784668e-07
500,20,JOINT,,0.0006782561540603638
500,100,L0.k,normuon,2.2351741790771484e-07
500,100,L0.v,normuon,2.0429491996765137e-05
500,100,L0.up,normuon,0.00014322996139526367
500,100,L1.v,adam,-0.00026060640811920166
500,100,L1.o,normuon,1.8030405044555664e-06
500,100,L1.up,normuon,2.7373433113098145e-05
500,100,L2.q,sign,-0.0007738471031188965
500,100,L2.v,normuon,1.7881393432617188e-07
500,100,L3.q,spectral_head,0.00039702653884887695
500,100,L3.k,pw05,0.0004119575023651123
500,100,L3.o,normuon,-8.344650268554688e-07
500,100,L3.up,normuon,0.00010246038436889648
500,100,JOINT,,0.0002718716859817505
