arm,lr,seed,step,train_loss,val_loss,lr_now,wall_s
randpart,0.00333333,0,100,2.799197449684143,2.458006054162979,0.0032948851356227556,23.5
randpart,0.00333333,0,200,2.333263337612152,2.252152591943741,0.0028690229977253413,43.61
randpart,0.00333333,0,300,2.0719629430770876,2.0478125363588333,0.002102393109844307,64.5
randpart,0.00333333,0,400,1.859135558605194,1.9249713271856308,0.0012472353933627822,85.32
randpart,0.00333333,0,500,1.7251961541175842,1.8463765531778336,0.0005849175833317487,105.75
randpart,0.00333333,0,600,1.6480226111412049,1.808428481221199,0.0003333583846879989,126.21
randpart,0.01,0,100,2.6879539847373963,2.490085870027542,0.009884665291533559,20.16
randpart,0.01,0,200,2.2991905546188356,2.196067750453949,0.008607077600253624,40.46
randpart,0.01,0,300,1.9897868728637695,2.015569791197777,0.006307185636718559,60.86
randpart,0.01,0,400,1.7952915465831756,1.892341360449791,0.0037417099217982685,80.96
randpart,0.01,0,500,1.6702962625026703,1.804145947098732,0.001754754504749751,101.23
randpart,0.01,0,600,1.5935262894630433,1.7597630620002747,0.0010000761541401509,121.97
randpart,0.03,0,100,2.6610058665275576,2.519969940185547,0.029653995874600676,20.41
randpart,0.03,0,200,2.4278330755233766,2.396544396877289,0.02582123280076087,43.02
randpart,0.03,0,300,2.2806398916244506,2.2750693559646606,0.018921556910155676,70.18
randpart,0.03,0,400,2.126497589349747,2.1436547338962555,0.011225129765394805,96.15
randpart,0.03,0,500,1.968000808954239,2.0275885313749313,0.0052642635142492525,121.98
randpart,0.03,0,600,1.860157803297043,1.967990219593048,0.003000228462420453,147.71
