arm,lr,seed,step,train_loss,val_loss,lr_now,wall_s
randpart,0.01,1,100,2.6937169551849367,2.451144725084305,0.009884665291533559,22.26
randpart,0.01,1,200,2.3010221481323243,2.2155882716178894,0.008607077600253624,45.27
randpart,0.01,1,300,2.0054141557216645,2.0210835933685303,0.006307185636718559,68.26
randpart,0.01,1,400,1.8139911818504333,1.8924574851989746,0.0037417099217982685,90.67
randpart,0.01,1,500,1.6765819084644318,1.8173827081918716,0.001754754504749751,113.0
randpart,0.01,1,600,1.5996793365478517,1.7686496078968048,0.0010000761541401509,135.55
randpart,0.01,2,100,2.678060545921326,2.4680638909339905,0.009884665291533559,21.38
randpart,0.01,2,200,2.288646116256714,2.196308046579361,0.008607077600253624,44.12
randpart,0.01,2,300,1.9889094936847687,1.9982892125844955,0.006307185636718559,66.01
randpart,0.01,2,400,1.790022611618042,1.8879027515649796,0.0037417099217982685,87.37
randpart,0.01,2,500,1.6735467159748076,1.7824324369430542,0.001754754504749751,108.89
randpart,0.01,2,600,1.5815376663208007,1.735823780298233,0.0010000761541401509,130.2
randpart,0.01,3,100,2.687652299404144,2.4747164845466614,0.009884665291533559,21.82
randpart,0.01,3,200,2.303497552871704,2.218427896499634,0.008607077600253624,43.37
randpart,0.01,3,300,1.9978689873218536,2.0277427583932877,0.006307185636718559,64.92
randpart,0.01,3,400,1.8015466058254241,1.8800062984228134,0.0037417099217982685,86.51
randpart,0.01,3,500,1.6594517743587494,1.7903676182031631,0.001754754504749751,108.12
randpart,0.01,3,600,1.59601930975914,1.7419236451387405,0.0010000761541401509,130.11
