phase,arm,lr,seed,step,train_loss,val_loss,wall_s
tune,muon,0.003296823456782901,0,50,6.960465154647827,5.561919420957565,28.83
tune,muon,0.00287531801370094,0,100,4.954302806854248,5.218715041875839,56.07
tune,muon,0.002110973606924687,0,150,4.623414678573608,5.097298622131348,82.99
tune,muon,0.001255278178840227,0,200,4.43111330986023,4.97172674536705,110.81
tune,muon,0.0005897763847237964,0,250,4.246739654541016,4.901585608720779,138.3
tune,muon,0.0003334345378928187,0,300,4.1445369529724125,4.864277541637421,166.73
tune,muon,0.009890480260828964,0,50,6.3798778533935545,5.392972648143768,26.47
tune,muon,0.008625962667065487,0,100,4.799040851593017,5.21748748421669,53.86
tune,muon,0.006332927153701215,0,150,4.546261110305786,5.1127917766571045,82.51
tune,muon,0.003765838302358984,0,200,4.317334413528442,4.964888781309128,117.2
tune,muon,0.0017693309235023128,0,250,4.101136250495911,4.8839680552482605,142.78
tune,muon,0.0010003046139830702,0,300,3.9687095499038696,4.8416217267513275,168.91
tune,muon,0.02967144078248689,0,50,6.21934157371521,5.471197098493576,27.97
tune,muon,0.02587788800119646,0,100,4.868662118911743,5.263905704021454,65.24
tune,muon,0.018998781461103644,0,150,4.647519063949585,5.207830995321274,95.35
tune,muon,0.01129751490707695,0,200,4.473869504928589,5.053838223218918,125.31
tune,muon,0.005307992770506938,0,250,4.267522473335266,4.978958070278168,153.11
tune,muon,0.0030009138419492105,0,300,4.133194189071656,4.925385415554047,181.0
eval,muon,0.009890480260828964,1,50,6.386322021484375,5.533042073249817,31.05
eval,muon,0.008625962667065487,1,100,4.859891538619995,5.216358155012131,62.37
eval,muon,0.006332927153701215,1,150,4.554984264373779,4.992053747177124,93.3
eval,muon,0.003765838302358984,1,200,4.254279270172119,4.914440035820007,124.52
eval,muon,0.0017693309235023128,1,250,4.111693716049194,4.858645021915436,155.37
eval,muon,0.0010003046139830702,1,300,3.9914728450775145,4.813726931810379,186.84
eval,muon,0.009890480260828964,2,50,6.285734844207764,5.502663671970367,30.73
eval,muon,0.008625962667065487,2,100,4.798442306518555,5.24808394908905,59.53
eval,muon,0.006332927153701215,2,150,4.496547842025757,5.059233665466309,89.31
eval,muon,0.003765838302358984,2,200,4.298068652153015,4.914505511522293,121.34
eval,muon,0.0017693309235023128,2,250,4.089728255271911,4.849674046039581,152.34
eval,muon,0.0010003046139830702,2,300,3.95168803691864,4.815390169620514,182.49
eval,muon,0.009890480260828964,3,50,6.282701034545898,5.484893977642059,30.3
eval,muon,0.008625962667065487,3,100,4.788565063476563,5.2266058921813965,62.06
eval,muon,0.006332927153701215,3,150,4.5496422481536865,5.069216787815094,93.82
eval,muon,0.003765838302358984,3,200,4.298423953056336,4.944805204868317,125.11
eval,muon,0.0017693309235023128,3,250,4.121517686843872,4.870616227388382,156.47
eval,muon,0.0010003046139830702,3,300,3.9719324111938477,4.843826502561569,187.75
tune,duality,0.003296823456782901,0,50,7.877516527175903,6.211235880851746,30.69
tune,duality,0.00287531801370094,0,100,5.267033910751342,5.249075621366501,58.37
tune,duality,0.002110973606924687,0,150,4.6400965881347656,5.117831617593765,86.32
tune,duality,0.001255278178840227,0,200,4.415477886199951,4.995730131864548,114.74
tune,duality,0.0005897763847237964,0,250,4.22134859085083,4.911027103662491,142.08
tune,duality,0.0003334345378928187,0,300,4.0988204431533815,4.874061495065689,169.21
tune,duality,0.009890480260828964,0,50,6.861352472305298,5.368561178445816,27.97
tune,duality,0.008625962667065487,0,100,4.7907993125915525,5.286789953708649,55.28
tune,duality,0.006332927153701215,0,150,4.559267358779907,5.178594201803207,82.09
tune,duality,0.003765838302358984,0,200,4.306843552589417,5.003559052944183,110.1
tune,duality,0.0017693309235023128,0,250,4.078335585594178,4.919130057096481,136.28
tune,duality,0.0010003046139830702,0,300,3.9233227014541625,4.869111090898514,163.38
tune,duality,0.02967144078248689,0,50,6.431190977096557,5.6771809458732605,28.18
tune,duality,0.02587788800119646,0,100,4.927612152099609,5.2654909789562225,53.9
tune,duality,0.018998781461103644,0,150,4.62262529373169,5.210201025009155,81.49
tune,duality,0.01129751490707695,0,200,4.452958135604859,5.0619538724422455,108.34
tune,duality,0.005307992770506938,0,250,4.253881239891053,5.018117666244507,135.15
tune,duality,0.0030009138419492105,0,300,4.1205586814880375,4.961706429719925,162.36
eval,duality,0.009890480260828964,1,50,6.845342168807983,5.483719527721405,31.31
eval,duality,0.008625962667065487,1,100,4.837231321334839,5.260439097881317,61.53
eval,duality,0.006332927153701215,1,150,4.553552494049073,5.067345887422562,88.78
eval,duality,0.003765838302358984,1,200,4.235284595489502,5.000511258840561,116.93
eval,duality,0.0017693309235023128,1,250,4.0790762615203855,4.924545556306839,144.33
eval,duality,0.0010003046139830702,1,300,3.9437659788131714,4.8821336925029755,172.81
eval,duality,0.009890480260828964,2,50,6.807271547317505,5.4850810170173645,26.22
eval,duality,0.008625962667065487,2,100,4.803640022277832,5.325672417879105,54.52
eval,duality,0.006332927153701215,2,150,4.513188834190369,5.124987602233887,81.2
eval,duality,0.003765838302358984,2,200,4.295040774345398,4.972013175487518,107.16
eval,duality,0.0017693309235023128,2,250,4.077041516304016,4.897677481174469,133.19
eval,duality,0.0010003046139830702,2,300,3.9206780338287355,4.857154935598373,158.5
eval,duality,0.009890480260828964,3,50,6.814264621734619,5.488350868225098,27.65
eval,duality,0.008625962667065487,3,100,4.802032308578491,5.3306277096271515,54.51
eval,duality,0.006332927153701215,3,150,4.57576964378357,5.163029074668884,81.85
eval,duality,0.003765838302358984,3,200,4.298527460098267,5.028884291648865,108.82
eval,duality,0.0017693309235023128,3,250,4.101086926460266,4.919039607048035,151.99
eval,duality,0.0010003046139830702,3,300,3.932336254119873,4.889242619276047,185.28
