phase,arm,lr,seed,decile,loss,median_train_count
tune,muon,0.00333333,0,0,11.256487846374512,3.0
tune,muon,0.00333333,0,1,7.37965726852417,19.0
tune,muon,0.00333333,0,2,6.729703903198242,54.0
tune,muon,0.00333333,0,3,4.944681644439697,168.0
tune,muon,0.00333333,0,4,4.778774738311768,389.0
tune,muon,0.00333333,0,5,4.169253826141357,845.0
tune,muon,0.00333333,0,6,3.7734665870666504,1959.0
tune,muon,0.00333333,0,7,3.1482954025268555,4918.0
tune,muon,0.00333333,0,8,1.6681100130081177,17804.0
tune,muon,0.00333333,0,9,0.791860044002533,35773.0
tune,muon,0.01,0,0,11.299909591674805,3.0
tune,muon,0.01,0,1,7.286083698272705,19.0
tune,muon,0.01,0,2,6.739467144012451,54.0
tune,muon,0.01,0,3,4.949563980102539,168.0
tune,muon,0.01,0,4,4.697341442108154,389.0
tune,muon,0.01,0,5,4.143486976623535,845.0
tune,muon,0.01,0,6,3.705690860748291,1959.0
tune,muon,0.01,0,7,3.152639389038086,4918.0
tune,muon,0.01,0,8,1.6605232954025269,17804.0
tune,muon,0.01,0,9,0.7790303230285645,35773.0
tune,muon,0.03,0,0,11.352216720581055,3.0
tune,muon,0.03,0,1,7.281403064727783,19.0
tune,muon,0.03,0,2,6.799708366394043,54.0
tune,muon,0.03,0,3,4.970701217651367,168.0
tune,muon,0.03,0,4,4.882972717285156,389.0
tune,muon,0.03,0,5,4.28195858001709,845.0
tune,muon,0.03,0,6,3.807065486907959,1959.0
tune,muon,0.03,0,7,3.230952739715576,4918.0
tune,muon,0.03,0,8,1.7220643758773804,17804.0
tune,muon,0.03,0,9,0.9223688244819641,35773.0
eval,muon,0.01,1,0,11.180924415588379,3.0
eval,muon,0.01,1,1,7.345463752746582,19.0
eval,muon,0.01,1,2,6.824230194091797,54.0
eval,muon,0.01,1,3,4.709383487701416,168.0
eval,muon,0.01,1,4,4.762365818023682,389.0
eval,muon,0.01,1,5,4.162380695343018,845.0
eval,muon,0.01,1,6,3.699282169342041,1959.0
eval,muon,0.01,1,7,3.1101646423339844,4918.0
eval,muon,0.01,1,8,1.607315182685852,17804.0
eval,muon,0.01,1,9,0.7332679629325867,35773.0
eval,muon,0.01,2,0,11.161659240722656,3.0
eval,muon,0.01,2,1,7.345702648162842,19.0
eval,muon,0.01,2,2,6.802033424377441,54.0
eval,muon,0.01,2,3,4.783463954925537,168.0
eval,muon,0.01,2,4,4.714236736297607,389.0
eval,muon,0.01,2,5,4.265621662139893,845.0
eval,muon,0.01,2,6,3.654144287109375,1959.0
eval,muon,0.01,2,7,3.0845439434051514,4918.0
eval,muon,0.01,2,8,1.635025978088379,17804.0
eval,muon,0.01,2,9,0.7049597501754761,35773.0
eval,muon,0.01,3,0,11.288350105285645,3.0
eval,muon,0.01,3,1,7.289727210998535,19.0
eval,muon,0.01,3,2,6.779858112335205,54.0
eval,muon,0.01,3,3,4.888162612915039,168.0
eval,muon,0.01,3,4,4.765459060668945,389.0
eval,muon,0.01,3,5,4.107506275177002,845.0
eval,muon,0.01,3,6,3.7139148712158203,1959.0
eval,muon,0.01,3,7,3.114962339401245,4918.0
eval,muon,0.01,3,8,1.7058281898498535,17804.0
eval,muon,0.01,3,9,0.7820180058479309,35773.0
tune,duality,0.00333333,0,0,11.003876686096191,3.0
tune,duality,0.00333333,0,1,7.273334503173828,19.0
tune,duality,0.00333333,0,2,6.772391319274902,54.0
